route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,brigade_id,vehicle_id,variant_id
A,3,3_13291628,"Zajezdnia Obornicka",0,837732,2,1,837732
A,3,3_13291643,"Zajezdnia Obornicka",0,837732,3,1,837732
A,3,3_13291674,"Zajezdnia Obornicka",0,837732,5,1,837732
A,3,3_13291488,"KOSZAROWA (Szpital)",1,838672,22,1,838672
A,3,3_13291599,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,3,3_13291601,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,3,3_13291603,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,3,3_13291605,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,3,3_13291607,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,3,3_13291609,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,3,3_13291611,"KOSZAROWA (Szpital)",1,838672,1,2,838672
A,3,3_13291617,"KOSZAROWA (Szpital)",1,838672,2,1,838672
A,3,3_13291619,"KOSZAROWA (Szpital)",1,838672,2,1,838672
A,3,3_13291621,"KOSZAROWA (Szpital)",1,838672,2,1,838672
A,3,3_13291623,"KOSZAROWA (Szpital)",1,838672,2,1,838672
A,3,3_13291625,"KOSZAROWA (Szpital)",1,838672,2,1,838672
A,3,3_13291627,"KOSZAROWA (Szpital)",1,838672,2,1,838672
A,3,3_13291630,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,3,3_13291632,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,3,3_13291634,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,3,3_13291636,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,3,3_13291638,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,3,3_13291640,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,3,3_13291642,"KOSZAROWA (Szpital)",1,838672,3,1,838672
A,3,3_13291645,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,3,3_13291647,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,3,3_13291649,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,3,3_13291651,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,3,3_13291653,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,3,3_13291655,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,3,3_13291657,"KOSZAROWA (Szpital)",1,838672,4,1,838672
A,3,3_13291661,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,3,3_13291663,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,3,3_13291665,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,3,3_13291667,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,3,3_13291669,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,3,3_13291671,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,3,3_13291673,"KOSZAROWA (Szpital)",1,838672,5,1,838672
A,3,3_13291388,"KRZYKI",0,838673,23,1,838673
A,3,3_13291487,"KRZYKI",0,838673,22,1,838673
A,3,3_13291600,"KRZYKI",0,838673,1,2,838673
A,3,3_13291602,"KRZYKI",0,838673,1,2,838673
A,3,3_13291604,"KRZYKI",0,838673,1,2,838673
A,3,3_13291606,"KRZYKI",0,838673,1,2,838673
A,3,3_13291608,"KRZYKI",0,838673,1,2,838673
A,3,3_13291610,"KRZYKI",0,838673,1,2,838673
A,3,3_13291612,"KRZYKI",0,838673,1,2,838673
